MACEDONIAN STOCK EXCHANGE,,,,,,,,,,
R. Makedonija - drzavna obvrznica DO2015/42-1125dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/43-1130dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/20-0732dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/13-0738,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/32-0825,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/33-0830dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/19-0933,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/20-0933dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/18-0525dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/13-0633dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/27-0932dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/17-0938,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/03-0131dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/17-0632dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/21-0931dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/27-1133dk,106.80,0.00,,,,,106.80,,0.00,
R. Makedonija - drzavna obvrznica DO2016/29-1231dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/10-0332dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/14-0631dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/27-0725dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/28-0730dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/36-1132dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/09-0326,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/38-0925dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/39-0930dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/46-1225dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/04-0133,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/05-0133dk,112.20,0.00,,,,,112.20,,0.00,
R. Makedonija - drzavna obvrznica DO2015/20-0625,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/21-0625dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/22-0630dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/20-1027,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/05-0132dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/08-0230dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/12-0325,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/13-0330dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/11-0448dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/07-0538dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/02-0125,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/34-0825,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/35-0825dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/36-0830dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/04-0131dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2019/04-0234,107.10,0.00,,,,,107.10,,0.00,
R. Makedonija - drzavna obvrznica DO2016/16-0731dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/23-1238dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/03-0125,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/04-0125dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/18-0632dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/10-0638dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/22-0931dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/41-1030dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/10-1035,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/17-1237,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/18-1237dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/01-0150dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/11-0332dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/05-0338,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/06-0338dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/04-0450dk,100.00,0.00,,,,,100.00,,0.00,
R. Makedonija - drzavna obvrznica DO2022/08-0637,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/29-0730dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/37-1132dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2019/02-0149dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/10-0331dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2019/14-1049dk,103.50,0.00,,,,,103.50,,0.00,
R. Makedonija - denacionalizacija 14,90.00,0.00,,,,,90.00,,0.00,
R. Makedonija - denacionalizacija 15,95.00,0.00,,,,,95.00,,0.00,
R. Makedonija - denacionalizacija 16,90.00,0.00,,,,,90.00,,0.00,
R. Makedonija - denacionalizacija 17,90.00,0.00,,,,,90.00,,0.00,
R. Makedonija - denacionalizacija 18,91.00,0.00,,,,,91.00,,0.00,
R. Makedonija - denacionalizacija 19,92.00,0.00,,,,,92.00,,0.00,
R. Makedonija - denacionalizacija 20,87.00,0.00,,,,,87.00,,0.00,
R. Makedonija - denacionalizacija 21,87.00,0.00,,,,,87.00,,0.00,
R. Makedonija - denacionalizacija 22,86.00,-1.15,,,86.00,86.00,86.00,"1,452",76.79,
R. Makedonija - strukturni obvrznici opstina Vinica,,0.00,,,,,,,0.00,
R. Makedonija - strukturni obvrznici opstina Zelino,97.10,0.00,,,,,97.10,,0.00,
R. Makedonija - strukturni obvrznici opstina Tetovo,96.00,0.00,,,,,96.00,,0.00,
SN Osiguritelen broker AD Bitola - korporativna obvrznica I emisija,90.00,0.00,,,,,90.00,,0.00,
TTK banka AD Skopje - korporativna obvrznica I emisija,100.00,0.00,,,,,100.00,,0.00,
TTK banka AD Skopje - korporativna obvrznica II emisija,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/18-1025,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/19-1039,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/17-0927,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2024/18-0939,,0.00,,,,,,,0.00,
Exchange Listing - Other Securities,,,,,,,,,,
Univerzalna Investiciona Banka Skopje - perpetualni obvrznici - vtora emisija,,0.00,,,,,,,0.00,
Univerzalna Investiciona Banka Skopje - perpetualni obvrznici - treta emisija,,0.00,,,,,,,0.00,
Mandatory Listing – ordinary shares,,,,,,,,,,
Ading Skopje,"1,650.00",0.00,,"1,700.00",,,"1,650.00",,0.00,
Agromehanika Skopje,300.00,0.00,,,,,300.00,,0.00,
Angropromet-Tikvesanka Kavadarci,750.00,0.00,,,,,750.00,,0.00,
Automakedonija Skopje,"3,030.00",0.00,,,,,"3,030.00",,0.00,
Rudnici Banani Skopje,603.00,0.00,,,,,603.00,,0.00,
Kristal 1923 AD Veles,158.00,0.00,,,,,158.00,,0.00,
BIM Sveti Nikole,"18,001.00",0.00,"19,000.00",,,,"18,001.00",,0.00,
FZC 11 Oktomvri Kumanovo,199.00,0.00,,,,,199.00,,0.00,
Centralna kooperativna banka Skopje,350.00,0.00,,,,,350.00,,0.00,
Debarski bani Capa Debar,"1,550.00",0.00,,,,,"1,550.00",,0.00,
Dimko Mitrev Veles,185.00,0.00,,,,,185.00,,0.00,
Evropa Skopje,"3,168.00",0.00,,,,,"3,168.00",,0.00,
Fakom Skopje,"6,984.00",0.00,,"6,775.00",,,"6,984.00",,0.00,
Fustelarko Borec Bitola,"2,101.00",0.00,"2,164.00",,,,"2,101.00",,0.00,
Geras Cunev konfekcija Strumica,310.00,0.00,,,,,310.00,,0.00,
Geras Cunev trgovija Strumica,310.00,0.00,,,,,310.00,,0.00,
Grozd Strumica,"2,250.00",0.00,,,,,"2,250.00",,0.00,
Gradski Trgovski Centar Skopje,"1,790.00",0.00,,"1,788.00",,,"1,790.00",,0.00,
Interpromet Tetovo,"4,500.00",0.00,,,,,"4,500.00",,0.00,
Makedonija osiguruvanje Skopje - Viena Insurance Grup,"1,200.00",0.00,250.00,"1,100.00",,,"1,200.00",,0.00,
Klanica so ladilnik Strumica,120.00,0.00,,,,,120.00,,0.00,
Fruktal MAK Skopje,119.00,0.00,,,,,119.00,,0.00,
Karpos Skopje,350.00,0.00,300.00,700.00,,,350.00,,0.00,
Lotarija na Makedonija Skopje,150.00,0.00,,,,,150.00,,0.00,
Pelisterka AD Skopje,"2,619.00",0.00,,"10,000.00",,,"2,619.00",,0.00,
Makpromet Stip,600.00,0.00,,,,,600.00,,0.00,
Mermeren kombinat Prilep,"3,200.00",0.00,"3,100.00","3,500.00",,,"3,200.00",,0.00,
Moda Sveti Nikole,99.00,0.00,,,,,99.00,,0.00,
Vabtek MZT Skopje,"3,133.00",0.00,,"3,000.00",,,"3,133.00",,0.00,
MZT Pumpi Skopje,607.00,0.00,,,,,607.00,,0.00,
Ograzden Strumica,"1,900.00",0.00,,,,,"1,900.00",,0.00,
Nova stokovna kuka Strumica,"61,500.00",0.00,,,,,"61,500.00",,0.00,
Oilko KDA Skopje,"6,000.00",0.00,"8,000.00",,,,"6,000.00",,0.00,
OKTA Skopje,"5,919.00",0.00,"5,900.00","5,910.00",,,"5,919.00",,0.00,
Oranzerii Hamzali Strumica,308.00,0.00,,,,,308.00,,0.00,
"Pekabesko AD Kadino, Ilinden","17,550.00",0.00,,"19,000.00",,,"17,550.00",,0.00,
Popova Kula Demir Kapija,16.00,0.00,16.00,,,,16.00,,0.00,
Prilepska Pivarnica Prilep,"35,000.00",0.00,,,,,"35,000.00",,0.00,
Rade Koncar - aparatna tehnika Skopje,"2,000.00",0.00,,"2,200.00",,,"2,000.00",,0.00,
RZ Ekonomika Skopje,50.00,0.00,,,,,50.00,,0.00,
Liberti AD Skopje,16.00,0.00,,,,,16.00,,0.00,
RZ Tehnicka kontrola Skopje,577.00,0.00,500.00,,,,577.00,,0.00,
Ugotur Skopje,20.00,0.00,,20.00,,,20.00,,0.00,
Sovremen dom Prilep,30.00,0.00,,,,,30.00,,0.00,
Sileks Kratovo,70.00,0.00,,,,,70.00,,0.00,
Slavej Skopje,"3,100.00",0.00,,,,,"3,100.00",,0.00,
Strumicko pole s.Vasilevo,,0.00,,,,,,,0.00,
Sigurnosno staklo Prilep,360.00,0.00,,,,,360.00,,0.00,
Stopanska banka Skopje,"1,964.00",-0.27,"1,960.00","1,964.00","1,964.00","1,964.00","1,964.00",155,304.42,
Stokopromet Skopje,"1,200.00",0.00,,,,,"1,200.00",,0.00,
TEAL-Alumina Tetovo,730.00,0.00,,,,,730.00,,0.00,
Tehnokomerc Skopje,"1,000.00",0.00,,,,,"1,000.00",,0.00,
Makedonski Telekom Skopje,408.47,-0.44,402.00,410.00,410.00,407.00,410.00,"1,146",468.11,
GD-Tikves Kavadarci,"1,000.00",0.00,,,,,"1,000.00",,0.00,
NLB Banka Skopje,"45,000.00",0.00,"45,100.00","45,900.00","45,000.00","45,000.00","45,000.00",20,900.00,
Transkop-Patnicki soob. Bitola,"1,800.00",0.00,,,,,"1,800.00",,0.00,
Trgotekstil maloprodazba Skopje,97.00,0.00,,,,,97.00,,0.00,
Univerzalna Investiciona Banka Skopje,"7,200.00",0.00,"7,000.00","7,200.00",,,"7,200.00",,0.00,
Cementarnica USJE Skopje,"37,000.00",0.00,"30,000.00",,,,"37,000.00",,0.00,
Triglav osiguruvane Skopje,"7,838.00",0.00,"4,000.00",,,,"7,838.00",,0.00,
Veteks Veles,"1,002.00",0.00,"1,032.00",,,,"1,002.00",,0.00,
ZAS Skopje,27.00,0.00,,310.00,,,27.00,,0.00,
Zito Karaorman Kicevo,615.00,0.00,,,,,615.00,,0.00,
Zito Polog Tetovo,"2,199.00",0.00,,,,,"2,199.00",,0.00,
Mandatory Listing – priority shares,,,,,,,,,,
Stopanska banka Skopje,650.00,0.00,,750.00,,,650.00,,0.00,
Regular Market,,,,,,,,,,
Market of joint stock companies with special reporting obligations - Ordinary shares,,,,,,,,,,
Sparkase banka AD Skopje,"3,700.00",0.00,"3,700.00","3,930.00",,,"3,700.00",,0.00,
Oteks Ohrid,45.00,0.00,,44.00,,,45.00,,0.00,
Free Market - Ordinary shares,,,,,,,,,,
ZIK Gradiste Kumanovo,"1,240.00",0.00,"1,277.00",,,,"1,240.00",,0.00,
Mlekara AD Bitola,"18,000.00",0.00,"15,000.00",,,,"18,000.00",,0.00,
Makpetrol-Teas AD Skopje,500.00,0.00,,"15,000.00",,,500.00,,0.00,
Vega osiguruvanje AD Skopje,30.00,0.00,,,30.00,30.00,30.00,"4,980",149.40,C
Arcelormittal Skopje (HRM) Skopje,4.00,0.00,,2.00,,,4.00,,0.00,
Pivara Skopje AD Skopje,"65,105.00",0.00,"55,000.00",,,,"65,105.00",,0.00,
"Total Turnover all market segments: 10,751,492.00",,,,,,,,,,
MBI10,"8,799.72",,20.85,,0.24%,,,,,
OMB,122.86,,-0.41,,-0.33%,,,,,
1 EUR = 61.4950 MKD,,,,,,,,,,
"*In order of better correspondence to the daily list in Macedonian language, the term ""Close"" used in the daily lists untill 23.09.2022 is changed with the term ""Last trade price"", and it will be used in the daily lists starting from 26.09.2022 on.",,,,,,,,,,
